GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,InputReader,4,6,0,0,0,0,1,1,1,1
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,14,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,14,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,14,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,14,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,CalculatorTest,0,243,0,0,0,0,0,22,0,22
Example,com.thoughtworks.calculator,CommandTest,0,338,0,0,0,0,0,24,0,24
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},0,13,0,0,0,0,0,2,0,2
Example,com.thoughtworks.calculator,Calculator,0,115,0,4,0,0,0,15,0,13
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},4,6,0,0,0,0,1,1,1,1
Example,com.thoughtworks.calculator,Parser,9,44,1,3,0,0,1,3,0,2
Example,com.thoughtworks.calculator,Command.new ArithmeticOperation() {...},4,9,0,0,0,0,1,1,1,1
Example,com.thoughtworks.calculator,Command,2,202,1,7,0,0,1,10,0,7
Example,com.thoughtworks.calculator,CalculatorApplication,54,0,0,0,0,0,3,0,3,0
Example,com.thoughtworks.calculator,ParserTest,0,334,0,0,0,0,0,18,0,18
Example,com.thoughtworks.calculator,InputReaderTest,0,19,0,0,0,0,0,2,0,2
